Gare;Département;No_dpt;Région;Type_de_train;Date_de_la_première_desserte
Avignon-Centre;Vaucluse;84;Provence-Alpes-Côte d'Azur;TGV inOui;4 juillet 1982
Avignon TGV;Vaucluse;84;Provence-Alpes-Côte d'Azur;TGV inOui, AVE, TGV Lyria (saisonnier), Ouigo, Thalys (saisonnier), Eurostar;10 juin 2001
Bar-le-Duc;Meuse;55;Grand Est;TGV inOui;25 juin 2006
La Baule-Escoublac;Loire-Atlantique;44;Pays de la Loire;TGV inOui ou TGV;24 septembre 1989
Bayonne;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;TGV inOui;25 septembre 1990
Beaune;Côte-d'Or;21;Bourgogne-Franche-Comté;TGV inOui;25 septembre 1983
Belfort - Montbéliard TGV;Territoire de Belfort;90;Bourgogne-Franche-Comté;TGV inOui, TGV Lyria;11 décembre 2011
Bellegarde;Ain;01;Auvergne-Rhône-Alpes;TGV inOui, TGV Lyria;27 septembre 1981
Besançon Franche-Comté TGV;Doubs;25;Bourgogne-Franche-Comté;TGV inOui;11 décembre 2011
Besançon-Viotte;Doubs;25;Bourgogne-Franche-Comté;TGV inOui;27 septembre 1981
Béthune;Pas-de-Calais;62;Hauts-de-France;TGV inOui;23 mai 1993
Béziers;Hérault;34;Occitanie;TGV inOui, AVE;11 décembre 1988
Biarritz;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;TGV inOui;25 septembre 1990
Bordeaux-Saint-Jean;Gironde;33;Nouvelle-Aquitaine;TGV inOui ou TGV, Ouigo, Thalys (saisonnier);25 septembre 1990
Boulogne-Ville;Pas-de-Calais;62;Hauts-de-France;TGV inOui, TERGV;mai 1994
Bourg-en-Bresse;Ain;01;Auvergne-Rhône-Alpes;TGV inOui, TGV Lyria;27 septembre 1981
Bourg-Saint-Maurice;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui (saisonnier), Eurostar (saisonnier), Thalys (saisonnier);11 décembre 1988
Brest;Finistère;29;Bretagne;TGV inOui ou TGV;24 septembre 1989
Calais - Fréthun;Pas-de-Calais;62;Hauts-de-France;TGV inOui, TERGV, Eurostar;1993 ou 1994 ?
Calais-Ville;Pas-de-Calais;62;Hauts-de-France;TGV inOui, TERGV;1993 ou 1994 ?
Cannes;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;TGV inOui, Ouigo;4 avril 1987
Carcassonne;Aude;11;Occitanie;TGV inOui;
Chalon-sur-Saône;Saône-et-Loire;71;Bourgogne-Franche-Comté;TGV inOui;25 septembre 1983
Châlons-en-Champagne;Marne;51;Grand Est;TGV inOui;25 juin 2006
Chambéry - Challes-les-Eaux;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui, Thalys (saisonnier);26 septembre 1982
Champagne-Ardenne TGV;Marne;51;Grand Est;TGV inOui, Ouigo;10 juin 2007
Charleville-Mézières;Ardennes;08;Grand Est;TGV inOui;10 juin 2007
Châtellerault;Vienne;86;Nouvelle-Aquitaine;TGV inOui ou TGV;25 septembre 1990
Cluses;Haute-Savoie;74;Auvergne-Rhône-Alpes;TGV inOui (saisonnier);16 décembre 1984
Colmar;Haut-Rhin;68;Grand Est;TGV inOui, Ouigo;12 décembre 2004
Le Creusot - Montceau - Montchanin;Saône-et-Loire;71;Bourgogne-Franche-Comté;TGV inOui;27 septembre 1981
Le Croisic;Loire-Atlantique;44;Pays de la Loire;TGV inOui ou TGV;24 septembre 1989
Croix - Wasquehal;Nord;59;Hauts-de-France;TGV inOui;23 mai 1993
Dax;Landes;40;Nouvelle-Aquitaine;TGV inOui;25 septembre 1990
Dijon-Ville;Côte-d'Or;21;Bourgogne-Franche-Comté;TGV inOui, TGV Lyria;27 septembre 1981
Dol-de-Bretagne;Ille-et-Vilaine;35;Bretagne;TGV inOui ou TGV;11 décembre 2005
Dole-Ville;Jura;39;Bourgogne-Franche-Comté;TGV inOui, TGV Lyria;27 septembre 1981
Douai;Nord;59;Hauts-de-France;TGV inOui;25 septembre 1984
Dunkerque;Nord;59;Hauts-de-France;TGV inOui, TERGV;23 mai 1993
Épinal;Vosges;88;Grand Est;TGV inOui;10 juin 2007
Étaples - Le Touquet;Pas-de-Calais;62;Hauts-de-France;TGV inOui, TERGV;12 décembre 2010
Évian-les-Bains;Haute-Savoie;74;Auvergne-Rhône-Alpes;TGV inOui (hebdomadaire);11 décembre 1983
Facture-Biganos;Gironde;33;Nouvelle-Aquitaine;TGV inOui;25 septembre 1990
Forbach;Moselle;57;Grand Est;TGV inOui, ICE;10 juin 2007
Frasne;Doubs;25;Bourgogne-Franche-Comté;TGV Lyria;22 janvier 1984
Futuroscope;Vienne;86;Nouvelle-Aquitaine;TGV inOui ou TGV;28 mai 2000
Grenoble;Isère;38;Auvergne-Rhône-Alpes;TGV inOui;4 mars 1985
Guingamp;Côtes-d'Armor;22;Bretagne;TGV inOui ou TGV;24 septembre 1989
Le Havre;Seine-Maritime;76;Normandie;TGV inOui;12 décembre 2004
Hazebrouck;Nord;59;Hauts-de-France;TGV inOui;23 mai 1993
Hendaye;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;TGV inOui;25 septembre 1990
Hyères;Var;83;Provence-Alpes-Côte d'Azur;TGV inOui;3 juillet 1994
Lamballe;Côtes-d'Armor;22;Bretagne;TGV inOui ou TGV;24 septembre 1989
Landerneau;Finistère;29;Bretagne;TGV inOui ou TGV;24 septembre 1989
Landry;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui (saisonnier), Eurostar (saisonnier), Thalys (saisonnier);11 décembre 1988
Lannion;Côtes-d'Armor;22;Bretagne;TGV inOui ou TGV (hebdomadaire);30 juillet 2000
Laval;Mayenne;53;Pays de la Loire;TGV inOui ou TGV, Ouigo;24 septembre 1989
Lens;Pas-de-Calais;62;Hauts-de-France;TGV inOui;23 mai 1993
Libourne;Gironde;33;Nouvelle-Aquitaine;TGV inOui ou TGV;25 septembre 1990
Lille-Europe;Nord;59;Hauts-de-France;TGV inOui, TERGV, Eurostar;23 janvier 1994
Lille-Flandres;Nord;59;Hauts-de-France;TGV inOui;25 septembre 1984
Lorient;Morbihan;56;Bretagne;TGV inOui ou TGV;10 septembre 1991
Lorraine TGV;Moselle;57;Grand Est;TGV inOui, Ouigo;10 juin 2007
Lourdes;Hautes-Pyrénées;65;Occitanie;TGV inOui;25 septembre 1990
Lunéville;Meurthe-et-Moselle;54;Grand Est;TGV inOui;28 août 2006
Lyon-Part-Dieu;Rhône;69;Auvergne-Rhône-Alpes;TGV inOui, TGV Lyria (saisonnier), AVE, Ouigo, Eurostar;13 juin 1983
Lyon-Perrache;Rhône;69;Auvergne-Rhône-Alpes;TGV inOui, Ouigo;27 septembre 1981
Lyon-Saint-Exupéry TGV;Rhône;69;Auvergne-Rhône-Alpes;TGV inOui, Ouigo;3 juillet 1994
Mâcon-Loché TGV;Saône-et-Loire;71;Bourgogne-Franche-Comté;TGV inOui;27 septembre 1981
Mâcon-Ville;Saône-et-Loire;71;Bourgogne-Franche-Comté;TGV inOui;28 septembre 1997
Le Mans;Sarthe;72;Pays de la Loire;TGV inOui ou TGV, Ouigo;24 septembre 1989
Mantes-la-Jolie;Yvelines;78;Île-de-France;TGV inOui;1986
Marne-la-Vallée - Chessy;Seine-et-Marne;77;Île-de-France;TGV inOui, Eurostar, Thalys, Ouigo;29 mai 1994
Marseille-Saint-Charles;Bouches-du-Rhône;13;Provence-Alpes-Côte d'Azur;TGV inOui, AVE, Eurostar, TGV Lyria (saisonnier), Ouigo, Thalys (saisonnier);4 juillet 1982
Massy - Palaiseau;Essonne;91;Île-de-France;TGV inOui;1986
Massy TGV;Essonne;91;Île-de-France;TGV inOui ou TGV, Ouigo;29 septembre 1991
Menton;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;TGV inOui;28 septembre 1997
Metz-Ville;Moselle;57;Grand Est;TGV inOui, Ouigo;10 juin 2001
Meuse TGV;Meuse;55;Grand Est;TGV inOui;10 juin 2007
Miramas;Bouches-du-Rhône;13;Provence-Alpes-Côte d'Azur;TGV inOui;4 juillet 1982
Modane;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui;11 décembre 1983
Montauban-Ville-Bourbon;Tarn-et-Garonne;82;Occitanie;TGV inOui, Ouigo;25 septembre 1990
Montbard;Côte-d'Or;21;Bourgogne-Franche-Comté;TGV inOui;27 septembre 1981
Montélimar;Drôme;26;Auvergne-Rhône-Alpes;TGV inOui;4 juillet 1982
Montpellier-Saint-Roch;Hérault;34;Occitanie;TGV inOui, Ouigo, AVE;4 juillet 1982
Montpellier-Sud-de-France;Hérault;34;Occitanie;TGV inOui, Ouigo;7 juillet 2018
Morlaix;Finistère;29;Bretagne;TGV inOui ou TGV;24 septembre 1989
