service_id,date,exception_type
8182,20200531,1
8182,20200411,2
8891,20200521,1
8891,20200530,1
8891,20200501,1
8891,20200508,1
8891,20200522,2
8891,20200529,2
14000,20200520,1
14000,20200430,1
14000,20200507,1
14000,20200529,1
14000,20200605,1
14000,20200612,1
14000,20200619,1
14000,20200626,1
14000,20200521,2
14000,20200501,2
14000,20200508,2
14001,20200525,1
14001,20200526,1
14001,20200527,1
14001,20200528,1
14001,20200602,1
14001,20200603,1
14001,20200604,1
14001,20200608,1
14001,20200609,1
14001,20200610,1
14001,20200611,1
14001,20200615,1
14001,20200616,1
14001,20200617,1
14001,20200618,1
14001,20200622,1
14001,20200623,1
14001,20200624,1
14001,20200625,1
14001,20200629,1
14001,20200630,1
14001,20200701,1
14001,20200520,2
14001,20200430,2
14001,20200507,2
14001,20200413,2
14001,20200601,2
682,20200413,2
8892,20200507,1
8892,20200520,1
8892,20200430,1
8892,20200508,2
8892,20200522,2
8892,20200501,2
8229,20200522,1
2545,20200404,1
686,20200511,1
686,20200512,1
686,20200513,1
686,20200514,1
686,20200515,1
686,20200427,1
686,20200428,1
686,20200429,1
686,20200430,1
686,20200504,1
686,20200505,1
686,20200506,1
686,20200507,1
686,20200518,1
686,20200519,1
686,20200520,1
686,20200601,2
686,20200521,2
430,20200412,1
4221,20200413,1
4221,20200601,1
4978,20200414,1
4978,20200602,1
4978,20200413,2
4978,20200601,2
7708,20200525,1
7708,20200526,1
7708,20200527,1
7708,20200528,1
7708,20200529,1
7708,20200601,1
7708,20200602,1
7708,20200603,1
7708,20200604,1
7708,20200605,1
7708,20200607,1
7708,20200608,1
7708,20200609,1
7708,20200610,1
7708,20200611,1
7708,20200612,1
7708,20200614,1
7708,20200615,1
7708,20200616,1
7708,20200617,1
7708,20200618,1
7708,20200619,1
7708,20200621,1
7708,20200622,1
7708,20200623,1
7708,20200624,1
7708,20200625,1
7708,20200626,1
7708,20200628,1
7708,20200629,1
7708,20200630,1
7708,20200701,1
7708,20200412,2
7708,20200531,2
7708,20200521,2
7708,20200501,2
7708,20200508,2
6677,20200413,1
6677,20200601,1
6677,20200412,2
8703,20200413,1
8703,20200601,1
8703,20200412,2
8703,20200531,2
4626,20200515,1
4626,20200626,1
8746,20200520,1
8746,20200430,1
8746,20200507,1
8746,20200529,1
8746,20200605,1
8746,20200612,1
8746,20200619,1
8746,20200626,1
8746,20200521,2
8746,20200501,2
8746,20200508,2
8745,20200525,1
8745,20200526,1
8745,20200527,1
8745,20200528,1
8745,20200602,1
8745,20200603,1
8745,20200604,1
8745,20200608,1
8745,20200609,1
8745,20200610,1
8745,20200611,1
8745,20200615,1
8745,20200616,1
8745,20200617,1
8745,20200618,1
8745,20200622,1
8745,20200623,1
8745,20200624,1
8745,20200625,1
8745,20200629,1
8745,20200630,1
8745,20200701,1
8745,20200520,2
8745,20200430,2
8745,20200507,2
8745,20200413,2
8745,20200601,2
8163,20200531,1
8163,20200411,2
8157,20200413,2
8157,20200531,2
8157,20200410,2
8157,20200412,2
14003,20200403,1
14004,20200413,2
7925,20200511,1
7925,20200512,1
7925,20200513,1
7925,20200514,1
7925,20200515,1
7925,20200427,1
7925,20200428,1
7925,20200429,1
7925,20200430,1
7925,20200504,1
7925,20200505,1
7925,20200506,1
7925,20200507,1
7925,20200518,1
7925,20200519,1
7925,20200520,1
7925,20200601,2
7925,20200521,2
14005,20200511,1
14005,20200512,1
14005,20200513,1
14005,20200514,1
14005,20200515,1
14005,20200427,1
14005,20200428,1
14005,20200429,1
14005,20200430,1
14005,20200504,1
14005,20200505,1
14005,20200506,1
14005,20200507,1
14005,20200518,1
14005,20200519,1
14005,20200520,1
14005,20200601,2
14005,20200521,2
14007,20200403,1
14008,20200501,1
14009,20200405,1
14011,20200521,1
14011,20200522,1
14011,20200508,1
14011,20200509,2
5596,20200507,1
5596,20200520,1
5596,20200430,1
5596,20200508,2
5596,20200522,2
5596,20200501,2
5588,20200522,1
5588,20200601,1
5588,20200602,1
5588,20200603,1
5588,20200604,1
5588,20200606,1
5588,20200608,1
5588,20200609,1
5588,20200610,1
5588,20200611,1
5588,20200613,1
5588,20200426,1
5588,20200427,1
5588,20200428,1
5588,20200429,1
5588,20200501,1
5588,20200504,1
5588,20200505,1
5588,20200506,1
5588,20200508,1
5588,20200615,1
5588,20200616,1
5588,20200617,1
5588,20200618,1
5588,20200622,1
5588,20200623,1
5588,20200624,1
5588,20200625,1
5588,20200629,1
5588,20200630,1
5588,20200701,1
5588,20200520,2
3937,20200411,2
