trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN009577F1201215132,20:17:00,20:20:00,StopPoint:OCETGV INOUI-80291039,4,"",0,0,
OCESN009577F1201215132,21:01:00,21:06:00,StopPoint:OCETGV INOUI-80021402,5,"",0,0,
OCESN009577F1201215132,21:36:00,21:36:00,StopPoint:OCETGV INOUI-80203471,6,"",0,0,
OCESN009579F1601615169,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F1601615169,19:41:00,19:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F1601615169,20:25:00,20:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009579F1601615169,21:27:00,21:42:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009579F1601615169,22:39:00,22:42:00,StopPoint:OCETGV INOUI-80291039,4,"",0,0,
OCESN009579F1601615169,23:24:00,23:28:00,StopPoint:OCETGV INOUI-80021402,5,"",0,0,
OCESN009579F1601615169,23:55:00,23:55:00,StopPoint:OCETGV INOUI-80203471,6,"",0,0,
OCESN009579F2802815165,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F2802815165,19:41:00,19:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F2802815165,20:25:00,20:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009579F2802815165,21:27:00,21:42:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009579F2802815165,23:39:00,23:42:00,StopPoint:OCETGV INOUI-80021402,4,"",0,0,
OCESN009579F2802815165,24:08:00,24:08:00,StopPoint:OCETGV INOUI-80203471,5,"",0,0,
OCESN009579F2902915158,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F2902915158,19:41:00,19:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F2902915158,20:25:00,20:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009579F2902915158,21:27:00,21:42:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009579F2902915158,22:46:00,22:49:00,StopPoint:OCETGV INOUI-80291039,4,"",0,0,
OCESN009579F2902915158,23:34:00,23:37:00,StopPoint:OCETGV INOUI-80021402,5,"",0,0,
OCESN009579F2902915158,24:06:00,24:06:00,StopPoint:OCETGV INOUI-80203471,6,"",0,0,
OCESN002077F060066781,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002077F060066781,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
