trip_id;trip_date;time;stop_by_name;stop;stop_position_lon;stop_position_lat
OCESN006852F0800811635;2020-04-23 18:33:00;18:33:00;Les Arcs-Draguignan;87755447;6.48246201;43.45572852
OCESN006852F0800811635;2020-04-23 19:13:00;19:13:00;Toulon;87755009;5.92945828;43.12831598
OCESN006852F0800811635;2020-04-23 20:01:00;20:01:00;Marseille-St-Charles;87751008;5.38064989;43.30272986
OCESN006852F0800811635;2020-04-23 20:26:00;20:26:00;Aix-en-Provence-TGV;87319012;5.31726436;43.45515093
OCESN006852F0800811635;2020-04-23 20:48:00;20:48:00;Avignon-TGV;87318964;4.78615444;43.92196386
OCESN006852F0800811635;2020-04-23 21:23:00;21:23:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006852F0800811635;2020-04-23 22:03:00;22:03:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006850F1901911625;2020-04-23 14:53:00;14:53:00;Nice-Ville;87756056;7.26178618;43.70471069
OCESN006850F1901911625;2020-04-23 15:07:00;15:07:00;Antibes;87757674;7.11951629;43.58578911
OCESN006850F1901911625;2020-04-23 15:19:00;15:19:00;Cannes;87757625;7.01972542;43.55391311
OCESN006850F1901911625;2020-04-23 15:47:00;15:47:00;St-RaphaÃ«l-Valescure;87757526;6.76901271;43.42360603
OCESN006850F1901911625;2020-04-23 16:03:00;16:03:00;Les Arcs-Draguignan;87755447;6.48246201;43.45572852
OCESN006850F1901911625;2020-04-23 16:43:00;16:43:00;Toulon;87755009;5.92945828;43.12831598
OCESN006850F1901911625;2020-04-23 17:31:00;17:31:00;Marseille-St-Charles;87751008;5.38064989;43.30272986
OCESN006850F1901911625;2020-04-23 18:02:00;18:02:00;Aix-en-Provence-TGV;87319012;5.31726436;43.45515093
OCESN006850F1901911625;2020-04-23 18:24:00;18:24:00;Avignon-TGV;87318964;4.78615444;43.92196386
OCESN006850F1901911625;2020-04-23 19:33:00;19:33:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006821F1001011588;2020-04-23 07:06:00;07:06:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006821F1001011588;2020-04-23 07:40:00;07:40:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006821F1001011588;2020-04-23 08:26:00;08:26:00;NÃ®mes;87775007;4.36583551;43.83229306
OCESN006821F1001011588;2020-04-23 08:55:00;08:55:00;Montpellier-Saint-Roch;87773002;3.88236031;43.60583439
OCESN006821F1001011588;2020-04-23 09:18:00;09:18:00;SÃ¨te;87773200;3.69639619;43.41281189
OCESN006821F1001011588;2020-04-23 09:43:00;09:43:00;BÃ©ziers;87781005;3.21921804;43.33622529
OCESN006821F1001011588;2020-04-23 09:59:00;09:59:00;Narbonne;87781104;3.00595633;43.19103322
OCESN006821F1001011588;2020-04-23 10:30:00;10:30:00;Carcassonne;87615286;2.35188313;43.2177147
OCESN006821F1001011588;2020-04-23 11:18:00;11:18:00;Toulouse-Matabiau;87611004;1.45355763;43.61146412
OCESN006823F3203211598;2020-04-23 12:10:00;12:10:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006823F3203211598;2020-04-23 12:47:00;12:47:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006823F3203211598;2020-04-23 13:35:00;13:35:00;NÃ®mes;87775007;4.36583551;43.83229306
OCESN006823F3203211598;2020-04-23 14:03:00;14:03:00;Montpellier-Saint-Roch;87773002;3.88236031;43.60583439
OCESN006823F3203211598;2020-04-23 14:45:00;14:45:00;BÃ©ziers;87781005;3.21921804;43.33622529
OCESN006823F3203211598;2020-04-23 15:02:00;15:02:00;Narbonne;87781104;3.00595633;43.19103322
OCESN006823F3203211598;2020-04-23 15:33:00;15:33:00;Carcassonne;87615286;2.35188313;43.2177147
OCESN006823F3203211598;2020-04-23 16:21:00;16:21:00;Toulouse-Matabiau;87611004;1.45355763;43.61146412
OCESN006825F1801811615;2020-04-23 18:10:00;18:10:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006825F1801811615;2020-04-23 18:47:00;18:47:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006825F1801811615;2020-04-23 19:35:00;19:35:00;NÃ®mes;87775007;4.36583551;43.83229306
OCESN006825F1801811615;2020-04-23 20:03:00;20:03:00;Montpellier-Saint-Roch;87773002;3.88236031;43.60583439
OCESN006825F1801811615;2020-04-23 20:21:00;20:21:00;SÃ¨te;87773200;3.69639619;43.41281189
OCESN006825F1801811615;2020-04-23 20:46:00;20:46:00;BÃ©ziers;87781005;3.21921804;43.33622529
OCESN006825F1801811615;2020-04-23 21:02:00;21:02:00;Narbonne;87781104;3.00595633;43.19103322
OCESN006825F1801811615;2020-04-23 21:33:00;21:33:00;Carcassonne;87615286;2.35188313;43.2177147
OCESN006825F1801811615;2020-04-23 22:21:00;22:21:00;Toulouse-Matabiau;87611004;1.45355763;43.61146412
OCESN006873F1001011655;2020-04-23 15:44:00;15:44:00;Toulouse-Matabiau;87611004;1.45355763;43.61146412
OCESN006873F1001011655;2020-04-23 16:25:00;16:25:00;Carcassonne;87615286;2.35188313;43.2177147
OCESN006873F1001011655;2020-04-23 16:55:00;16:55:00;Narbonne;87781104;3.00595633;43.19103322
OCESN006873F1001011655;2020-04-23 17:11:00;17:11:00;BÃ©ziers;87781005;3.21921804;43.33622529
OCESN006873F1001011655;2020-04-23 17:35:00;17:35:00;SÃ¨te;87773200;3.69639619;43.41281189
OCESN006873F1001011655;2020-04-23 17:53:00;17:53:00;Montpellier-Saint-Roch;87773002;3.88236031;43.60583439
OCESN006873F1001011655;2020-04-23 18:22:00;18:22:00;NÃ®mes;87775007;4.36583551;43.83229306
OCESN006873F1001011655;2020-04-23 19:10:00;19:10:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006873F1001011655;2020-04-23 19:53:00;19:53:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006875F0500511656;2020-04-23 17:44:00;17:44:00;Toulouse-Matabiau;87611004;1.45355763;43.61146412
OCESN006875F0500511656;2020-04-23 18:25:00;18:25:00;Carcassonne;87615286;2.35188313;43.2177147
OCESN006875F0500511656;2020-04-23 18:55:00;18:55:00;Narbonne;87781104;3.00595633;43.19103322
OCESN006875F0500511656;2020-04-23 19:11:00;19:11:00;BÃ©ziers;87781005;3.21921804;43.33622529
OCESN006875F0500511656;2020-04-23 19:43:00;19:43:00;SÃ¨te;87773200;3.69639619;43.41281189
OCESN006875F0500511656;2020-04-23 20:03:00;20:03:00;Montpellier-Sud-France;87688887;3.92683548;43.59474378
OCESN006875F0500511656;2020-04-23 20:28:00;20:28:00;NÃ®mes Pont-du-Gard;87703975;4.5076804;43.81680671
OCESN006875F0500511656;2020-04-23 21:10:00;21:10:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006875F0500511656;2020-04-23 21:53:00;21:53:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006871F0500511644;2020-04-23 07:41:00;07:41:00;Toulouse-Matabiau;87611004;1.45355763;43.61146412
