stop_name;stop_id;train_type;geometry
Lorraine TGV;87142109;['TGV inOui', ' Ouigo'];POINT (6.16977576 48.94779465)
Lourdes;87671339;['TGV inOui'];POINT (-0.04219186 43.10042847)
Lunéville;87141150;['TGV inOui'];POINT (6.49703457 48.58799369)
Lyon-Part-Dieu;87723197;['TGV inOui', ' TGV Lyria (saisonnier)', ' AVE', ' Ouigo', ' Eurostar'];POINT (4.85943505 45.7605853)
Lyon-Perrache;87722025;['TGV inOui', ' Ouigo'];POINT (4.82594103 45.74878519)
Lyon-Saint-Exupéry TGV;87762906;['TGV inOui', ' Ouigo'];POINT (5.07583344 45.72092788)
Mantes-la-Jolie;87381509;['TGV inOui'];POINT (1.70329418 48.98968735)
Marne-la-Vallée - Chessy;87111849;['TGV inOui', ' Eurostar', ' Thalys', ' Ouigo'];POINT (2.78287721 48.87059769)
Marseille-Saint-Charles;87751008;['TGV inOui', ' AVE', ' Eurostar', ' TGV Lyria (saisonnier)', ' Ouigo', ' Thalys (saisonnier)'];POINT (5.38064989 43.30272986)
Massy - Palaiseau;87393579;['TGV inOui'];POINT (2.25659692 48.72490168)
Massy TGV;87393702;['TGV inOui ou TGV', ' Ouigo'];POINT (2.26156762 48.72602849)
Menton;87756486;['TGV inOui'];POINT (7.49316896 43.77440045)
Metz-Ville;87192039;['TGV inOui', ' Ouigo'];POINT (6.17719829 49.10978742)
Meuse TGV;87147322;['TGV inOui'];POINT (5.27105413 48.97849058)
