name;address;HH_start;HH_end;confidence_index;beers
Au Bureau;36 Rue Bernardin de Saint-Pierre, 76600 Le Havre, France;16;18;0;{'Cheapest beer': {'HHprice': '3.3 €', 'nHHprice': '6.5 €', 'volume': '50'}}
Au Bureau;13 Rue de la Poste, 74000 Annecy, France;16;18;2;{'Cheapest beer': {'HHprice': '3.6 €', 'nHHprice': '5.4 €', 'volume': '50'}}
Au Bureau;69 Route de Nantes, 56860 Séné, France;0;0;0;{'Cheapest beer': {'nHHprice': '5.9 €', 'volume': '50'}}
Au Bureau;12 Place Robert Belvaux, 94170 Le Perreux-sur-Marne, France;17;19;1;{'Stella Artois': {'HHprice': '3.2 €', 'nHHprice': '6.4 €', 'volume': '50'}}
Au Bureau;13 Boulevard Aristide Briand, 92400 Courbevoie, France;16;18;0;{'Stella Artois': {'HHprice': '6.5 €', 'nHHprice': '8.5 €', 'volume': '50'}}
Au Bureau;Avenue du Passage du Lac, 78180 Montigny-le-Bretonneux, France;16;19;0;{'Cheapest beer': {'HHprice': '5.8 €', 'nHHprice': '5.8 €', 'volume': '50'}, 'Stella Artois': {'HHprice': '5.8 €', 'nHHprice': '6.9 €', 'volume': '50'}, 'Hoegaarden Wit-Blanche': {'HHprice': '7 €', 'nHHprice': '8.8 €', 'volume': '50'}, 'Leffe Ruby': {'HHprice': '7 €', 'nHHprice': '9.7 €', 'volume': '50'}, 'Triple Karmeliet': {'HHprice': '9.8 €', 'nHHprice': '9.8 €', 'volume': '50'}, 'Leffe Brune': {'HHprice': '7 €', 'nHHprice': '9.7 €', 'volume': '50'}}
Au Bureau;Rue André Citroën, 95130 Franconville, France;0;0;0;{'Stella Artois': {'nHHprice': '6.8 €', 'volume': '50'}, 'Hoegaarden Wit-Blanche': {'nHHprice': '7.6 €', 'volume': '50'}}
Au Bureau;13 place du grand ouest, 91300 Massy, France;16;19;1;{'Stella Artois': {'HHprice': '3.4 €', 'nHHprice': '6.8 €', 'volume': '50'}, 'Kwak': {'HHprice': '6.4 €', 'nHHprice': '6.4 €', 'volume': '33'}, 'Hoegaarden Wit-Blanche': {'HHprice': '3.75 €', 'nHHprice': '7.5 €', 'volume': '50'}}
Au Bureau;Parc de la Cerisaie, 12-14 Rue de la Loge, 94260 Fresnes, France;16;19;1;{'Cheapest beer': {'HHprice': '3.25 €', 'nHHprice': '6.5 €', 'volume': '50'}}
Au Canon Des Invalides;54 Rue Saint-Dominique, 75007 Paris, France;0;0;1;{'Cheapest beer': {'HHprice': '6 €', 'volume': '50'}}
Au Carrefour;99 Rue Ordener, 75018 Paris, France;0;0;1;{'Cheapest beer': {'HHprice': '4 €', 'volume': '50'}}
Au Caveau Montpensier;15 Rue de Montpensier, 75001 Paris, France;1630;19;0;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '6.5 €', 'volume': '50'}}
Au Cent Quatre;100 Avenue Gabriel Péri;0;0;1;{'Amstel': {'nHHprice': '5 €', 'volume': '50'}, 'Leffe Blonde': {'nHHprice': '2.9 €', 'volume': '25'}}
Au Ch'Ti Bar;39 Rue Perolière, 05000 Gap, France;0;0;0;{'Cheapest beer': {'nHHprice': '4.8 €', 'volume': '50'}}
Au Chai De L'abbaye;26 Rue de Buci, 75006 Paris, France;0;0;0;{'Cheapest beer': {'nHHprice': '7 €', 'volume': '50'}}
